1girl,1女孩
parted_lips,分开的嘴唇
detached_sleeves,分离袖子
one_eye_closed,闭一只眼
food,食物
japanese_clothes,日式服装
multiple_boys,多个男孩
green_hair,绿发
wings,翅膀|翼
open_clothes,敞开衣服
sky,天空
necktie,领带
horns,角
penis,阴茎
shoes,鞋子
glasses,眼镜
shorts,短裤
barefoot,赤脚|裸足
serafuku,水手服
pussy,小穴|阴道
teeth,牙齿
solo_focus,单人焦点
sleeveless,无袖
day,白天
alternate_costume,角色换装
choker,项圈
tongue,舌头
pointy_ears,尖耳
socks,袜子
black_gloves,黑色手套
elbow_gloves,长袖手套
hairclip,发夹
fang,虎牙
midriff,腹部
striped,条纹
puffy_sleeves,蓬蓬的袖子
shiny,光泽
looking_back,向后看|回眸
belt,皮带|腰带
sword,剑
collared_shirt,翻领衬衫
pants,裤子
official_art,官方作品
artist_name,作者署名
cloud,云
black_thighhighs,黑色过膝袜
indoors,室内
tears,眼泪
cat_ears,猫耳
white_gloves,白手套
virtual_youtuber,虚拟Youtuber
3girls,3个女性
hair_flower,头发上别着花
signature,签名
dark_skin,黑皮肤
hand_up,抬起手
spread_legs,张腿
silver_hair,银发
cum,射精
2boys,2男孩
hood,兜帽
sex,性爱|性交|做爱
miniskirt,迷你裙
tongue_out,吐舌头
wide_sleeves,宽袖
on_back,仰躺
fingerless_gloves,露指手套
blunt_bangs,齐刘海|直刘海
bowtie,领结
black_skirt,黑短裙
armpits,腋
pink_eyes,粉眼
sailor_collar,水手领
medium_hair,中长发
kimono,和服
water,水
grey_background,灰色背景
necklace,项链
black_legwear,黑丝袜
off_shoulder,露肩式
chibi,迷你|Q版
bag,包
hair_bun,包子头
clothes_lift,掀起衣物
cape,披肩|斗篷|披风
from_behind,背后视角
star_(symbol),星形
stomach,小腹
scarf,围巾
twitter_username,推特用户名
bra,胸罩
nail_polish,指甲油
orange_hair,橙发
yuri,百合
white_dress,白色连衣裙
sweatdrop,汗珠
holding_weapon,手持武器
black_footwear,黑色的鞋
armor,装甲
white_panties,白色内裤
mole,痣
hair_over_one_eye,刘海遮单眼|头发遮单眼
grin,露齿笑
uniform,制服
huge_breasts,巨乳（E
blurry,模糊
black_eyes,黑眼
character_name,含角色名
apron,围裙
looking_at_another,看着另一个
vest,背心
black_dress,黑色连衣裙
arm_up,单抬臂
mosaic_censoring,打了马赛克
high_heels,高跟鞋
vaginal,阴道
red_bow,红色蝴蝶结
twin_braids,双辫子
flat_chest,平胸|贫乳（A
arms_up,抬手
shiny_hair,闪亮头发
side_ponytail,侧马尾
bracelet,手镯
collar,项圈
covered_nipples,激凸的乳头|隐约可见的乳头
feet,脚|足
dated,付上日期的
from_side,侧视视角
aqua_eyes,水蓝色眼睛
sweater,毛衣
white_thighhighs,白色过膝袜
two-tone_hair,双色头发
speech_bubble,对话框|会话气泡
leotard,紧身连衣裤
red_ribbon,红色丝带
two_side_up,小型双股辫
english_text,英语
open_jacket,敞开的夹克
tree,树
sketch,素描
cup,杯子
blue_sky,蓝天
puffy_short_sleeves,蓬蓬的短袖
lips,嘴唇
zettai_ryouiki,绝对领域
blue_skirt,蓝色短裙
groin,腹股沟|耻丘
coat,大衣|外套
fingernails,指甲
wet,湿身
genshin_impact,原神
cat_tail,猫尾巴
v-shaped_eyebrows,眉毛皱成V形（表高傲或愤怒）
streaked_hair,挑染
black_jacket,黑色夹克
neckerchief,领巾
head_tilt,歪着头
crop_top,露腹短上衣
white_legwear,白丝袜
see-through,透明装
orange_eyes,橙色的眼镜
gradient,渐变
hand_on_hip,单手插腰
gun,枪
shiny_skin,有光泽的皮肤
animal_ear_fluff,兽耳绒毛
wrist_cuffs,腕饰|护腕
pillow,枕头
book,书
sleeves_past_wrists,袖子长过手腕
plaid,格子呢图案
looking_to_the_side,看侧面|侧视
torn_clothes,破损的衣服
artist_request,作者未知
maid,女仆
legs,腿
grey_eyes,灰眼
parted_bangs,分开的刘海
kneehighs,长袜|及膝袜
sash,饰带|日式束腰
military,军事
maid_headdress,女仆头饰
black_pantyhose,黑色连裤袜
cosplay,角色扮演
petals,花瓣
black_panties,黑色内裤
hands_up,双手朝上|双手抬起|双手举起
bare_arms,裸臂
fur_trim,皮草款式|毛皮镶边
pubic_hair,阴毛
gradient_background,渐变背景
symbol-shaped_pupils,符号瞳
fox_ears,狐耳
one-piece_swimsuit,连体泳衣
loli,萝莉
short_shorts,热裤
ascot,阿斯科特领巾
dutch_angle,斜角镜头
black_shirt,黑色衬衫
clothing_cutout,服装镂空
eyelashes,睫毛
open_shirt,敞开的衬衫
no_humans,无人类
bare_legs,裸腿|光腿
bar_censor,黑条打码
dress_shirt,西服衬衫
sparkle,菱形或星形的闪光
mole_under_eye,眼角有痣
window,窗
kneeling,跪着
lowres,低分辨率
pokemon_(creature),口袋妖怪（生物）|宝可梦
4girls,4个女性
single_braid,单辫
bodysuit,连体紧身衣
sleeveless_shirt,无袖衬衫
hug,拥抱
v,V字手势|剪刀手
no_bra,无胸罩
strapless,无肩带款式
bell,钟|铃
saliva,唾液
double_bun,包子头（两个）
aqua_hair,水蓝色头发
uncensored,不受限的|无码
black_headwear,黑色头饰
black_ribbon,黑色丝带
military_uniform,军装|军服
bed,床
blood,血
completely_nude,全裸
hoodie,卫衣|连帽衫
hatsune_miku,初音未来
sideboob,侧乳
4koma,四格漫画
pussy_juice,爱液|淫水
profile,侧颜
black_bow,黑蝴蝶结
covered_navel,隐约入目的肚脐
tattoo,纹身
skindentation,皮肤的凹陷
gradient_hair,渐变头发
makeup,化妆
neck_ribbon,颈带
leaning_forward,身体前倾
thigh_strap,大腿带|腿环
mask,面具|眼罩|口罩
muscular,肌肉发达
no_panties,无内裤|没内裤
multiple_views,多视图|多角度|多姿势
capelet,披肩
witch_hat,女巫帽
anus,菊花|肛门
copyright_name,版权署名
alternate_hairstyle,与原设不同发型变化
fruit,水果
underboob,下乳|南半球
detached_collar,假领
night,夜晚
depth_of_field,景深
sleeveless_dress,无袖连衣裙
floating_hair,飘浮的头发
headband,扎头巾（名词）
buttons,纽扣
cameltoe,骆驼趾
blue_dress,蓝色洋装
cum_in_pussy,内射|中出
fox_tail,狐狸尾巴
toes,脚趾
side-tie_bikini_bottom,侧系带比基尼下着
bottomless,下着较少
black_bikini,黑色比基尼
shadow,阴影
blurry_background,模糊背景
glowing,发光的
nose_blush,鼻子发红
feet_out_of_frame,足超出框
red_skirt,红色裙子
rose,玫瑰|蔷薇
fake_animal_ears,仿制的动物耳朵
swept_bangs,扫把状刘海
bed_sheet,床单
holding_hands,牵手
chain,锁链
headgear,头部饰品（含一定科幻元素）
facial_hair,胡须
turtleneck,高领服饰
bird,鸟|拟鸟化
6+girls,6个以上的女性
siblings,兄弟姐妹
headphones,耳机
ocean,海
arm_support,手臂支撑
heterochromia,异色瞳|虹膜异色
low_twintails,低双马尾
animal,动物
halterneck,绕颈系带
umbrella,伞
frown,皱眉|蹙额
beret,贝雷帽
leaf,叶子
thigh_boots,过膝长靴|高帮靴
pov,正面视角|第一人称视角
embarrassed,尴尬|害羞
on_bed,在床上
one_side_up,一侧绑发
white_headwear,白色头饰
back,背部
from_above,俯视视角
fangs,尖牙
watermark,水印
garter_straps,吊袜带
ass_visible_through_thighs,屁股通过大腿可见
kirisame_marisa,雾雨魔理沙
blue_background,蓝色背景
highleg,高开衩的衣物
scar,伤痕
white_bikini,白色比基尼
on_side,侧卧
transparent_background,透明背景
plaid_skirt,格子裙
upper_teeth,上牙
wariza,鸭子坐
blue_bow,蓝色蝴蝶结
mouth_hold,嘴咬住|叼着
traditional_media,传统媒体（纯手绘）
beach,海边|海滩
chair,椅子
parody,模仿捏他别的作品及人物
wavy_hair,卷发|波浪发
facial_mark,脸部有图案
bandages,绷带
looking_away,移开视线
black_choker,黑色项链
hair_tubes,束发套
blush_stickers,表情贴纸
shirt_lift,掀起衬衫
expressionless,无表情|无口
drill_hair,钻头卷|公主卷
chinese_clothes,中国服饰
brown_footwear,棕色鞋类
grabbing,抓住|抓着
obi,和服腰带
arms_behind_back,手背后
eating,咀嚼
holding_sword,手持剑
thick_thighs,粗腿|肉腿
no_shoes,无鞋|不穿鞋
clothes_pull,拉开衣物
heart-shaped_pupils,心形瞳孔|心形眼
pantyshot,内裤走光
topless,上着较少
thigh_gap,股沟|大腿间（绝对领域）
soles,脚底
short_dress,短裙
looking_down,往下看|俯视
phone,电话|手机
skirt_lift,掀起裙子
eyepatch,眼罩
magical_girl,魔法少女
stuffed_toy,填料布偶玩具
floral_print,花朵图案（印花）
bound,捆绑
black_shorts,黑色短裤
flying_sweatdrops,飞扬的汗珠
wavy_mouth,波浪嘴|薯片嘴
crossed_arms,交叉双臂
hair_intakes,进气口发型|M毛
piercing,穿孔|穿洞
border,边框
formal,正装
moon,月亮
abs,腹肌
leg_up,抬腿
black_pants,黑色长裤
half-closed_eyes,半闭眼
sandals,凉鞋
from_below,仰视视角
erection,勃起
cover,封面
cleavage_cutout,乳沟镂空|露乳沟
sunlight,阳光
table,桌子
single_hair_bun,单发髻
happy,快乐|幸福
oral,用嘴
red_dress,红色连衣裙
cat,猫
squatting,蹲
pink_background,粉色背景
underwear_only,只穿着内衣
scrunchie,发束
sunglasses,墨镜|太阳镜
testicles,睾丸|蛋蛋
school_swimsuit,学校泳衣|死库水
halo,头顶光环
cum_on_body,射在身上
bdsm,绑缚与调教|支配与臣服|施虐与受虐
white_footwear,白色鞋类
trembling,颤抖
mob_cap,头巾式室内女帽
blazer,西装夹克
ring,戒指
wolf_ears,狼耳朵
sleeping,睡觉
game_cg,游戏CG
standing_on_one_leg,单腿站立
backpack,背包
light_brown_hair,茶色头发
eyes_visible_through_hair,眼透头发
knee_boots,马靴|及膝靴
bob_cut,妹妹头|波波头
lingerie,女式内衣
breast_grab,揉胸
hat_ribbon,帽带
thick_eyebrows,浓眉|粗眉
katana,日本刀
demon_girl,魅魔
stuffed_animal,毛绒玩具
bat_wings,蝙蝠翅膀
cardigan,开襟衫
white_skirt,白色短裙
frilled_dress,花边连衣裙
crossed_legs,交叉腿|二郎腿
white_jacket,白色夹克
suspenders,背带
3boys,3个男性
helmet,头盔|头部装甲|头部防护罩
hood_down,放下的兜帽
cloudy_sky,多云天气
antenna_hair,天线毛|呆毛
outstretched_arms,伸出双臂
cellphone,手机
crying,哭哭
tank_top,无袖紧身背心
cross,十字
polka_dot,圆点花纹
bottle,瓶子
grass,草
fire,火
undressing,脱衣中
5girls,5个女性
crossover,跨界作品
suit,西装
crown,王冠|皇冠
tiara,皇冠头饰
feathers,羽毛
bent_over,弯腰
frilled_skirt,花边裙子
breasts_out,爆乳
light_smile,浅笑
high_ponytail,高马尾
holding_food,拿着食物
knife,刀
pectorals,胸肌
looking_up,往上看|仰视
couple,情侣
own_hands_together,双手合十
straddling,跨坐|骑乘
denim,牛仔布
white_bow,白色蝴蝶结
black_hairband,黑色发带
x_hair_ornament,X形发饰
horse_ears,马耳
eyebrows,眉毛
hair_bobbles,头绳
wing_collar,燕子领
on_stomach,趴着
blue_shirt,蓝色衬衫
plant,植物
areolae,乳晕
tan,小麦色（皮肤）
lipstick,口红
outstretched_arm,伸出手臂
short_twintails,短双马尾
fellatio,口交
letterboxed,宽银幕格式
bondage,束缚|捆绑play
robot,机器人
blue_ribbon,蓝色丝带
girl_on_top,女上位
white_flower,白色的花
curtains,窗帘
lifted_by_self,掀起自己的衣物
animal_print,动物印花
pointing,用手指着
monster_girl,人外娘
cat_girl,猫娘
polearm,长柄武器
pink_bow,粉色蝴蝶结
juliet_sleeves,朱丽叶袖
slit_pupils,竖向瞳孔
sex_from_behind,后入
all_fours,四肢趴地
spiked_hair,刺刺的头发
sisters,姐妹
sharp_teeth,鲨鱼牙|锯齿牙
crescent,月牙
staff,工作人员
hand_on_own_chest,把手放在自己的胸口
blue_sailor_collar,蓝色水手领
panty_pull,褪下内裤
frilled_sleeves,花边袖子
cherry_blossoms,樱花
blue_jacket,蓝色夹克
blouse,罩衫
clenched_teeth,咬牙
black_background,黑色背景
towel,毛巾
goggles,风镜|护目镜
cover_page,封面
shaded_face,阴沉脸
brooch,胸针
wind,风
bike_shorts,自行车短裤
head_wings,头上有翅膀
green_skirt,绿色的裙子
otoko_no_ko,女装少年|伪娘
casual,私服
ground_vehicle,地面载具
loafers,乐福鞋
gauntlets,护腕
elf,妖精|精灵
pink_panties,粉内裤
no_pants,没穿着裤子和裙子
t-shirt,T恤
black_bra,黑色内衣
red_flower,红色的花
demon_horns,恶魔的角
fox_girl,狐娘
multiple_tails,多条尾巴
building,建筑
shoulder_armor,肩甲
striped_panties,条纹内裤
wristband,腕带
motion_lines,体现运动的线
kiss,吻|亲吻|接吻
single_thighhigh,只有一条腿有穿着
messy_hair,凌乱发型
between_breasts,双乳间|乳沟里
breast_press,挤压胸部
surprised,惊讶
hat_bow,带有蝴蝶结的帽子
horse_girl,马娘
butterfly,蝴蝶
sheath,刀鞘|护套
child,小孩
group_sex,群P|群交
skirt_set,与上衣搭配的短裙|特制的裙子套装
ribbon_trim,缎带饰边
rabbit_tail,兔尾
third_eye,第三只眼
drooling,流口水
sneakers,运动鞋
instrument,乐器
clenched_hand,握紧的手
gem,宝石
red_shirt,红色衬衫
hakama,袴|腿衣
red_footwear,红色鞋类
sex_toy,性爱玩具
fishnets,网袜
box,箱子
pale_skin,苍白的皮肤
tassel,流苏
musical_note,音符
rope,绳
revealing_clothes,暴露的穿着
wet_clothes,湿衣服
genderswap,性别交换
candy,糖果
ear_piercing,穿耳洞
side-tie_panties,侧边系带内裤
facial,颜射
covering,遮盖的动作
foreshortening,正前缩距透视法
steam,蒸汽
nature,大自然
dog_ears,狗耳
adapted_costume,原设服装改编
anal,肛交|爆菊
pink_dress,粉色连衣裙
star_(sky),星星（天空中的）
demon_tail,恶魔尾巴
portrait,人像|半身像
peaked_cap,类似警帽的帽子
holding_gun,拿着枪
scenery,风景
armband,臂章
duplicate,复制
waist_apron,腰围裙
convenient_censoring,简单巧妙的打码
night_sky,夜空
breath,呼吸
ejaculation,射精
lace_trim,蕾丝镶边
veil,面纱
china_dress,旗袍
black_nails,黑色指甲
alice_margatroid,爱丽丝·玛格特罗依德
arms_behind_head,双手抱头
tokin_hat,头襟|兜巾
couch,沙发
kochiya_sanae,东风谷早苗
interlocked_fingers,手指相扣
bandaid,创可贴
lace,花边|蕾丝
microphone,麦克风
white_apron,白色围裙
bara,大叔
male_pubic_hair,男性的阴毛
front-tie_top,从正面打结的衣物
hakama_skirt,袴裙
mole_under_mouth,嘴角有痣|美人痣
bow_panties,带蝴蝶结的内裤
strapless_dress,无肩带连衣裙
bridal_gauntlets,婚纱手套
holding_cup,手持杯子
yaoi,BL|腐|搞基|㚻
mecha,机甲
glowing_eyes,发光眼睛
black_leotard,黑色连身衣
no_headwear,去掉了（原设有的）头饰
anger_vein,青筋
clothes_writing,印着字的T恤
white_ribbon,白色丝带
christmas,圣诞节
breasts_apart,向两侧摊开的乳房
jingle_bell,铃铛
straight_hair,直发
baseball_cap,棒球帽
string_bikini,系绳比基尼
cum_on_breasts,射在胸上
hair_over_shoulder,披肩发
hair_flaps,毛瓣|鱼翅形侧发
yellow_background,黄色背景
twin_drills,双钻发
skin_tight,衣服很紧显露出身体曲线或肢体特征
torn_legwear,破损的裤袜
feathered_wings,羽翼
semi-rimless_eyewear,无上框眼镜
web_address,网址
hooded_jacket,连帽夹克
angry,生气|发怒
facing_viewer,面对观众
motor_vehicle,机动载具
cloak,披风|斗篷
wolf_tail,狼尾巴
eyewear_on_head,眼镜别在头上
red_nails,红色指甲
claws,爪
carrying,抱起
light_particles,光粒子
side_braid,侧织辫
corset,束腰
micro_bikini,迷你比基尼
red_background,红背景
multiple_penises,阴茎包围网
pelvic_curtain,旗袍类衣物的前摆
mary_janes,玛丽珍鞋|珍妮鞋
knees_up,膝盖向上顶起
red_headwear,红色头饰
tentacles,触手
index_finger_raised,食指抬起
rifle,步枪
purple_dress,紫色连衣裙
grey_shirt,灰色上衣
smartphone,智能手机
bright_pupils,明亮瞳孔
tareme,下垂眼|垂目
multicolored_clothes,多色款衣服
beard,胡子|胡须
vertical_stripes,竖条纹
paizuri,乳交
single_horn,单侧长着角
extra_ears,四只耳朵
strap_slip,衣物吊带滑落（导致走光）
licking,舔
finger_to_mouth,手抵在嘴唇边
short_hair_with_long_locks,短发和长耳前发
striped_thighhighs,条纹过膝袜
close-up,特写
puffy_nipples,勃起乳头
white_border,白色边框
red_jacket,红色夹克
french_braid,法式辫子
androgynous,可男可女
snow,雪|雪原
tsurime,吊梢眼
buckle,扣
full_moon,满月
pom_pom_(clothes),小绒球（衣物挂件）
eye_contact,眼神交流
forehead,额头
two-tone_background,双色调背景
upskirt,从人的下方往上瞥
striped_legwear,条纹裤袜
areola_slip,乳晕走光
furry,福瑞|毛茸茸|兽人
seiza,正坐
face,脸部
yellow_bow,黄色的蝴蝶结
blue_bikini,蓝色比基尼
pink_flower,粉红色的花
genderswap_(mtf),女体化
lens_flare,镜头光晕
1other,1个非人类
armlet,臂环|臂章
gift,礼物
pink_nails,粉色指甲
spikes,尖刺|带钉的
hand_on_own_face,手放脸上
wading,涉水
between_legs,两腿间
pendant,吊坠
side_slit,侧面有缝的服饰
shameimaru_aya,射命丸文
handgun,手枪
dual_persona,双重人格
desk,书桌
camisole,吊带背心
masturbation,自慰
brown_gloves,棕色手套
skin_fang,嘴作虎牙
faceless,没有脸部细节的
restrained,拘束
plate,盘子
horse_tail,马尾
alcohol,酒
green_bow,绿色蝴蝶结
after_sex,事后
curvy,曲线身材|魔鬼身材
handjob,手淫
spoken_heart,会话气泡里带爱心
broom,扫帚
cross-laced_footwear,交叉系带靴
ribbed_sweater,罗纹毛衣
o-ring,带O型环的衣物
sleeves_rolled_up,卷起的袖子
maid_apron,女仆围裙
heavy_breathing,呼吸急促|喘粗气
ball,球
hair_scrunchie,发圈|发束
low_ponytail,低马尾
drinking_glass,酒杯
eyeshadow,眼影
santa_hat,圣诞帽
grey_skirt,灰色短裙
cowgirl_position,女上位
breast_hold,抱胸
highleg_leotard,高衩紧身衣
personification,拟人
fujiwara_no_mokou,藤原妹红
headwear_removed,头饰被摘下|摘下头饰
red_gloves,红色手套
clenched_hands,紧握双手
forest,森林
dress_lift,掀起裙子
tray,托盘
doujin_cover,同人封面
headset,头戴式耳机
machinery,机械武装
cropped_legs,腿下剪裁
partially_submerged,部分淹没
high_heel_boots,高跟靴
floating,浮动的|在漂浮的
zipper,拉链
blue_headwear,蓝色头饰
wide_hips,宽盆骨|安产型
smoke,烟
low-tied_long_hair,低扎长发
hair_rings,发环
legs_up,抬两条腿
halloween,万圣节
backlighting,背光|逆光
pencil_skirt,铅笔裙
single_glove,单手穿着手套
fish,鱼
hood_up,戴起来的兜帽
sweater_vest,毛衣背心
pink_skirt,粉色短裙
reflection,反射|倒映
clothed_sex,着衣性交
flying,飞行
half_updo,侧发后梳|公主辫
sleeves_past_fingers,袖子长过手指
spot_color,在黑白的画中特意少量使用一些颜色
panties_under_pantyhose,穿在裤袜里的内裤
arm_behind_back,单手背到身后
freckles,雀斑
starry_sky,星空
colored_sclera,有色巩膜（眼白）
kemonomimi_mode,兽耳模式
white_bra,白色胸罩
nontraditional_miko,改款过的日本服饰
asymmetrical_legwear,不对称的裤子
strapless_leotard,无肩带紧身衣
sailor_dress,水手服裙子
holding_book,捧着书
puffy_long_sleeves,蓬蓬的长袖
tearing_up,要哭的表情
brown_background,棕色背景
arm_at_side,单手垂放
akemi_homura,晓美焰
happy_birthday,生日快乐
long_fingernails,长指甲
blue_nails,蓝色指甲
red_bikini,红色比基尼
garter_belt,吊袜束腰带
dual_wielding,双持
6+boys,6个以上的男性
rain,雨
cuffs,手铐
red-framed_eyewear,红框眼镜
santa_costume,圣诞老人服装
fingering,指交
walking,走路
bubble,泡泡
cropped_jacket,短夹克
epaulettes,肩章
frilled_bikini,花边比基尼
crossdressing,（变装）女装|男装|女装男子|女装
hands,手|双手
innertube,泳圈
ribbon-trimmed_sleeves,丝带饰边袖子|缎带饰边袖子
dragon_horns,龙角
teacup,茶杯
legs_apart,双腿分开
naughty_face,下流的表情
out_of_frame,超出框
clothed_female_nude_male,穿着衣服的女性和裸男
contrapposto,对立式平衡
thong,丁字裤
cake,蛋糕
black_wings,黑翅膀
pink_ribbon,粉色丝带
demon_wings,恶魔之翼
condom,避孕套
arm_behind_head,单手托在脑后
oni_horns,鬼角
veins,静脉|血管凸起
white_pantyhose,白色裤袜
short_ponytail,短马尾
rape,强奸|强暴
bowl,碗
hat_ornament,带有饰物的帽子
beads,珠子
denim_shorts,牛仔短裤
curly_hair,卷发
purple_background,紫色背景
green_background,绿色背景
black-framed_eyewear,黑框眼镜
holding_phone,拿着手机
gym_uniform,运动服|体操服
knee_up,顶起膝盖
cumdrip,溢出的精液（已拔出）
spread_pussy,掰开阴部|掰穴|掰开的阴部
fur_collar,毛皮衣领
school_bag,书包
blue_shorts,蓝色短裤
doggystyle,狗爬式|后入式
lolita_fashion,洛丽塔风格
sun_hat,太阳帽
pauldrons,护肩
black_sailor_collar,黑色水手领
empty_eyes,失神眼|空洞眼神
goggles_on_head,头上别着护目镜
outside_border,一部分画到了背景框外面
spoken_ellipsis,会话气泡里带省略号
4boys,4个男性
blue_flower,蓝色的花
pink_shirt,粉色衬衫
pocket,口袋
under-rim_eyewear,无上框眼镜
toned,健壮的
cum_in_mouth,口爆|口内射精
shiny_clothes,有光泽的衣服
bulge,裆部隆起
long_legs,长腿
science_fiction,SF|科幻
alternate_breast_size,贫乳化|爆乳化
hand_on_another's_head,手放在对方的头上
crying_with_eyes_open,睁眼哭
purple_skirt,紫色裙子
skull,骷髅
jitome,轻蔑眼神|厌恶眼神
green_dress,绿色连衣裙
hand_in_own_hair,拨头发
meme,meme|模因
monster,怪物
outline,轮廓线|描边
new_year,新年
sunset,落日
toenails,脚趾甲
futanari,双性|扶她
buruma,灯笼裤
thighband_pantyhose,绑腿连裤袜
light_blush,淡淡的腮红
shield,盾
spear,矛
hands_on_hips,双手叉腰
emphasis_lines,集中线
v_arms,拘谨的手势
frilled_shirt_collar,花边衬衫领
frilled_apron,花边围裙
white_sleeves,白色袖子
asymmetrical_hair,不对称的发型
high-waist_skirt,高腰裙
running,奔跑
breast_squeeze,从两侧挤胸
dog,狗
track_jacket,运动夹克
competition_swimsuit,竞赛泳衣
long_skirt,长裙
tied_hair,扎好的头发
striped_bikini,条纹比基尼
ice,冰
angel_wings,天使翅膀
mole_on_breast,乳房上有痣
watch,手表
minigirl,迷你女孩
dog_tail,狗尾巴
teddy_bear,泰迪熊
legs_together,双腿并拢
black_serafuku,黑色水手服
impossible_clothes,有不现实的包裹程度的衣服
gold_trim,金色镶边
head_rest,枕着头|托着头
ass_grab,抓着屁股
faceless_male,无脸男
blue_footwear,蓝色鞋类
white_skin,白色的皮肤
white_pupils,白色瞳孔
single_earring,只一边戴着耳环
hat_removed,帽子被摘下|摘下帽子
blue_theme,蓝色
bespectacled,戴眼镜的
folded_ponytail,折叠马尾|蜷起来的马尾
ghost,幽灵
tress_ribbon,绺发发带
turret,舰炮
purple_bow,紫色蝴蝶结
paw_pose,爪子姿势
pouch,（贴身的）小袋
red_scarf,红色围巾
plump,丰满|肥胖
popsicle,冰棒|棒冰
shawl,披巾|披帛
rabbit,兔
poke_ball,精灵球
sarashi,裹胸布
brown_skirt,棕色短裙
cigarette,香烟
knees_together_feet_apart,双膝并拢脚分开
hand_in_pocket,手插在口袋里
white_sailor_collar,白色水手领
yukata,浴衣
age_difference,年龄差
hand_between_legs,手放腿间
hair_down,披下来的头发
sheathed,戴着护套的|入鞘的
bow_(weapon),弓
dragon_girl,龙娘
black_belt,黑色腰带
open_coat,敞开式外套
drinking_straw,吸管
twins,双子|双胞胎
high_collar,高领
upside-down,颠倒
oni,鬼
page_number,页码
serious,认真|严肃
jeans,牛仔裤
black_coat,黑色外套
smirk,傻笑|得意笑
black_vest,黑色背心
object_insertion,异物插入
brown_jacket,棕色夹克
light_rays,光照
robe,长袍
thought_bubble,体现内心想法的会话气泡
military_hat,军帽
injury,有伤的
yellow_shirt,黄色衬衫
pose,姿势
mini_hat,迷你帽子
lollipop,棒棒糖
blue_panties,蓝色内裤
yellow_ribbon,黄丝带
dakimakura_(medium),抱枕
hoop_earrings,环状耳环
striped_shirt,条纹衬衫
braided_ponytail,麻花辫马尾
tabard,搭肩衫
sideburns,（男子的）鬓角
patreon_username,有patreon用户名
bouncing_breasts,乳摇
circlet,头冠
butt_crack,股沟
pajamas,睡衣
missionary,传教士体位|正常位
crystal,矿石
lantern,灯笼
red_rose,红玫瑰
striped_bow,条纹蝴蝶结
wide-eyed,睁大眼睛
ofuda,符纸
contemporary,现代改编
water_drop,水滴
top_hat,礼帽
tentacle_hair,触手头发
breastplate,胸甲
chocolate,巧克力
threesome,三人行
jumping,跳跃的
blurry_foreground,前景模糊
white_shorts,白色短裤
rock,岩石
hairpin,一种发卡夹成的发型特征
hug_from_behind,从背后抱上来
sports_bra,运动内衣
handbag,手提包
white_hairband,白色发带
outstretched_hand,伸出手
oekaki,简朴的画作
height_difference,身高差
mirror,镜子
chopsticks,筷子
object_hug,抱着某物
belt_buckle,皮带扣
wooden_floor,木地板
bouquet,花束
pink_lips,粉色的嘴唇
blood_on_face,脸上有血
colored_eyelashes,彩色的睫毛
full-face_blush,整张脸泛红
stairs,楼梯|台阶
paper,纸张
mug,带柄的杯子|马克杯
valentine,情人节
shoulder_bag,挎包|单肩背包
sportswear,运动服
white_kimono,白色和服
snowing,下雪
mountain,山
covering_breasts,遮着乳房
animal_hood,兽耳头罩
star_hair_ornament,星形发饰
